ID,ovi_status,age,sex,occupation,monthly_income,personal_dengue,family_dengue,susceptibility,severity,benefits,barriers,cues,efficacy,knowledge,understanding,helpfulness_of_EWARS,type_of_mosq,mosq_place
1,0,57,0,Pook coordinator,1,0,0,3,5,4,3,4,4,1,"Tracing, detection, targeting",Dengue awareness,Unaware,"Stagnant water, tires"
2,0,54,0,Housewife,1,0,1,5,5,5,4,5,5,0,Mosquito elimination,Mosquito eradication,Female mosquitoes,"Stagnant water, tires"
3,0,49,0,Unemployed,1,0,0,2,1,4,4,4,4,0,,,Male mosquitoes,Unsanitary place
4,0,35,0,Self-employed,2,0,0,5,5,5,3,5,5,0,Combat dengue,"Dengue awareness, dengue prevention",Unaware,"Stagnant water, unsanitary place, trash"
5,0,61,1,Unemployed,1,0,0,1,3,1,1,5,2,0,Alternatives preferred,Not helpful,,"Greenery, trash"
6,0,55,0,Unemployed,1,0,0,5,4,2,4,5,5,0,Elimination,For mosquito hub,Female mosquitoes,"Stagnant water, unsanitary place"
7,0,68,1,Vendor,1,0,0,1,1,5,2,1,1,0,,,,"Stagnant water, unsanitary place"
8,0,35,1,Contractor,1,0,0,5,4,1,4,5,5,0,Mosquito elimination,Scientifically proven,,"Stagnant water, unsanitary place, tires"
9,0,68,0,Unemployed,1,0,0,4,5,4,5,5,5,1,Mosquito collection and capture,For unsanitary places,,"Greenery, unsanitary places, school"
10,0,57,0,Unemployed,2,0,0,5,5,1,4,5,5,0,Unaware,"Not helpful, unsanitary places",Unaware,Stagnant water
11,0,29,0,Virtual assistant,3,0,1,4,4,3,4,4,3,0,Unaware,For awareness,Black and white,"Stagnant water, greenery, unsanitary place"
12,0,25,1,Vendor,1,0,0,2,5,2,2,5,5,0,Unaware ,"Preparation, cleaning, increase of gov't funding",Unaware,"Stagnant water, tires, unsanitary place"
13,0,37,0,Vendor,1,0,0,4,4,2,3,4,4,0,Unaware,"Fumigation, low dengue cases",Female mosquitoes,"Stagnant water, bottle, tires, greenery"
14,0,52,0,Vendor,1,0,1,4,5,4,4,4,5,0,Unaware,Cleaning,Unaware,"Tires, unsanitary place"
15,0,38,1,Driver,1,0,0,2,4,3,4,4,4,0,Unaware,Fumigation,Spotted,Unsanitary place
